Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,latitude,longitude
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,43.630713,7.476161
Middle East & North Africa,73.15,73.44,73.88,74.39,74.93,75.97,77.04,78.14,79.23,80.29,81.29,81.87,82.43,82.97,83.52,84.06,39.78373,-100.445882
Macedonia,98.12097214,98.12097214,98.12097214,98.12097214,98.12097214,97.23407764,96.34733025,95.46072998,94.57427682,93.68797077,92.80181183,91.9158,91.02993528,90.14421768,90.14421768,90.14421768,39.78373,-100.445882
North America,99.67,99.67,99.67,99.67,99.67,99.67,99.66,99.65,99.64,99.63,99.62,99.61,99.6,99.59,99.58,99.57,39.78373,-100.445882
Nicaragua,77.83176318,77.92032203,78.00888088,78.09743974,78.18599859,78.27455744,78.3631163,78.45167515,78.540234,78.62879286,78.71735171,78.80591056,78.89446942,78.98302827,79.07158712,79.16014598,12.372493,-84.870031
Nepal,35.11841417,35.03085569,34.94329722,34.85573874,34.76818026,34.68062178,34.5930633,34.50550482,34.41794634,34.33038786,34.24282938,34.15527091,34.06771243,33.98015395,33.89259547,33.80503699,28.108393,84.091714
Pakistan,51.12095167,50.90617128,50.69139088,50.47661048,50.26183009,49.36547508,48.47497013,47.59031522,46.71151037,45.83855556,44.97145081,44.1101961,43.25479145,42.40523684,41.56153228,40.72367778,30.33084,71.247499
Peru,56.44388388,56.57312772,56.70237156,56.8316154,56.96085925,57.09010309,57.21934693,57.34859077,57.47783462,57.60707846,57.7363223,57.86556614,57.99480999,58.12405383,58.25329767,58.38254151,-6.86997,-75.045851
Rwanda,25.9611447,26.62798265,27.298751,27.97344973,28.65207885,29.33463835,30.02112824,30.71154852,31.40589919,32.10418024,32.80639168,33.51253351,34.22260573,34.93660833,35.65454132,36.3764047,-1.964663,30.064436
Singapore,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1.357107,103.819499
El Salvador,86.03773799,86.03773799,84.97003699,83.89611168,82.81596207,81.72958815,80.63698993,79.5381674,78.43312057,77.32184944,76.204354,76.38641124,76.56846848,76.75052573,76.93258297,77.11464021,13.800038,-88.914068
Sub-Saharan Africa,44.15,44.24,44.33,44.39,44.5,44.66,44.82,44.99,45.17,45.37,45.58,45.57,45.81,46.06,46.35,46.65,39.78373,-100.445882
Eswatini,67.38858388,68.8838405,70.39230938,71.91399052,73.44888391,74.99698957,76.55830749,78.13283767,79.72058011,81.32153481,82.93570177,84.56308099,86.20367247,87.06913072,87.56493394,88.06073717,-26.562481,31.399132
East Asia & Pacific (IDA & IBRD countries),93.69509266,93.70160356,93.52100699,93.34022797,93.1591861,92.97783144,92.79594277,92.61362596,92.43066654,92.245537,92.06020102,91.87444952,91.68846678,91.50240458,91.31633556,91.13028507,39.78373,-100.445882
Turkmenistan,87.30632823,87.34756755,87.38880687,87.43004619,87.47128551,87.30022216,87.12895873,86.9574952,86.78583159,86.61396788,86.44190408,86.26964019,86.09717621,85.92451214,85.72628,85.51314,39.376381,59.392461
Tanzania,8.395681435,8.476292573,8.55690371,8.637514848,11.15780812,13.72321786,16.33374408,18.98938677,21.69014594,24.43602158,27.22701369,30.06312228,32.7222191,33.00394195,33.2856648,33.56738765,-6.524712,35.787844
Uganda,25.41841164,24.90204321,24.38424373,23.86501318,23.34435158,22.8222589,22.29873517,21.77378037,21.24739451,20.71957759,20.19032961,19.65965056,19.12754045,18.59399928,18.05902704,17.52262374,1.533355,32.216658
Uruguay,93.86873951,93.86873951,93.86873951,93.86873951,93.86873951,93.92569866,93.9826578,94.03961695,94.09657609,94.15353524,94.21049439,94.26745353,94.32441268,94.38137182,94.43833097,94.49529012,-32.875555,-56.020152
United States,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,99.65306458,39.78373,-100.445882
Uzbekistan,83.53045074,84.01578818,84.50112562,84.98646305,85.47180049,85.95713793,86.44247537,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,86.5,41.32373,63.95281
World,84.89,84.88,84.87,84.86,84.86,84.91,84.97,85.02,85.07,85.12,85.17,85.17,85.17,85.16,85.16,85.12,39.78373,-100.445882
South Africa,90.51499785,90.54257382,90.53720338,90.53181289,90.52640234,90.52097172,90.51552104,90.51005029,90.36348385,89.60222815,88.84049319,88.07827896,87.31558548,86.55241273,85.78876072,85.02462945,-28.816624,24.991639
Zambia,48.55338623,48.42209798,48.29007195,48.15730814,48.02380653,47.88956714,47.75458996,47.61887499,47.48242223,47.34523168,47.20730335,47.06863723,46.92923332,46.78909162,46.64821214,46.50659486,-14.518624,27.559916
